start_station_id,start_station_name,end_station_id,end_station_name,total_trips_subscriber
46,Washington at Kearney,74,Steuart at Market,13
46,Washington at Kearney,75,Mechanics Plaza (Market at Battery),106
46,Washington at Kearney,82,Broadway St at Battery St,73
46,Washington at Kearney,39,Powell Street BART,203
46,Washington at Kearney,42,Davis at Jackson,24
46,Washington at Kearney,41,Clay at Battery,34
46,Washington at Kearney,46,Washington at Kearney,11
46,Washington at Kearney,47,Post at Kearney,63
46,Washington at Kearney,45,Commercial at Montgomery,9
46,Washington at Kearney,51,Embarcadero at Folsom,52
46,Washington at Kearney,50,Harry Bridges Plaza (Ferry Building),66
46,Washington at Kearney,49,Spear at Folsom,19
46,Washington at Kearney,48,Embarcadero at Vallejo,25
46,Washington at Kearney,55,Temporary Transbay Terminal (Howard at Beale),97
46,Washington at Kearney,54,Embarcadero at Bryant,36
46,Washington at Kearney,59,Golden Gate at Polk,8
46,Washington at Kearney,58,San Francisco City Hall,13
46,Washington at Kearney,57,5th at Howard,24
46,Washington at Kearney,56,Beale at Market,55
46,Washington at Kearney,63,Howard at 2nd,91
46,Washington at Kearney,62,2nd at Folsom,15
46,Washington at Kearney,61,2nd at Townsend,39
46,Washington at Kearney,60,Embarcadero at Sansome,58
47,Post at Kearney,68,Yerba Buena Center of the Arts (3rd @ Howard),41
47,Post at Kearney,69,San Francisco Caltrain 2 (330 Townsend),290
47,Post at Kearney,70,San Francisco Caltrain (Townsend at 4th),491
47,Post at Kearney,71,Powell at Post (Union Square),34
47,Post at Kearney,64,2nd at South Park,283
47,Post at Kearney,65,Townsend at 7th,234
47,Post at Kearney,66,South Van Ness at Market,60
