start_station_id,start_station_name,end_station_id,end_station_name,total_trips_customer
41,Clay at Battery,57,5th at Howard,5
41,Clay at Battery,56,Beale at Market,9
41,Clay at Battery,63,Howard at 2nd,6
41,Clay at Battery,62,2nd at Folsom,4
41,Clay at Battery,61,2nd at Townsend,29
41,Clay at Battery,60,Embarcadero at Sansome,97
46,Washington at Kearney,68,Yerba Buena Center of the Arts (3rd @ Howard),27
46,Washington at Kearney,69,San Francisco Caltrain 2 (330 Townsend),5
46,Washington at Kearney,70,San Francisco Caltrain (Townsend at 4th),22
46,Washington at Kearney,71,Powell at Post (Union Square),62
46,Washington at Kearney,64,2nd at South Park,8
46,Washington at Kearney,65,Townsend at 7th,12
46,Washington at Kearney,66,South Van Ness at Market,11
46,Washington at Kearney,67,Market at 10th,11
46,Washington at Kearney,76,Market at 4th,49
46,Washington at Kearney,77,Market at Sansome,17
46,Washington at Kearney,72,Civic Center BART (7th at Market),17
46,Washington at Kearney,73,Grant Avenue at Columbus Avenue,42
46,Washington at Kearney,74,Steuart at Market,23
46,Washington at Kearney,75,Mechanics Plaza (Market at Battery),15
